,registration,milage,duration,fee,emission,consumption,horsepower,brand,model,gear,fuel
152,4,201.0,48.0,379.66,152.0,7.0,95.0,Seat,Arona FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
153,23,26189.0,48.0,445.8,149.0,7.0,110.0,Audi,A3 Sportback 30 TFSI intense,Manuelle Schaltung,Benzin
154,0,15.0,48.0,414.94,113.0,4.0,120.0,Hyundai,"i30 1,0 T-GDI GO Plus!",Manuelle Schaltung,Benzin
155,35,46669.0,48.0,374.27,125.0,6.0,120.0,Opel,Crossland X 1.5 CDTI BlueIn. Innovation Start/Stop,Automatik,Diesel
156,0,15.0,48.0,429.01,113.0,5.0,120.0,Hyundai,"i30 CW 1,0 T-GDI GO Plus!",Manuelle Schaltung,Benzin
157,2,0.0,48.0,755.81,115.0,5.0,150.0,Audi,Q3 Sportback 35 TDI,Manuelle Schaltung,Diesel
158,4,1.0,48.0,512.39,153.0,7.0,116.0,Skoda,Octavia ŠKODA Combi Style TDI,Manuelle Schaltung,Diesel
159,22,27500.0,48.0,592.66,117.0,5.0,220.0,BMW,X1 xDrive25e PHEV M-Paket,Automatik,Hybrid
160,8,48000.0,48.0,537.86,121.0,5.0,122.0,Volkswagen,Tiguan VW Life TDI,Manuelle Schaltung,Diesel
161,8,2491.0,48.0,452.18,134.0,6.0,110.0,Opel,Crossland X Crossland 1.2 Turbo Business FLA LED S,Manuelle Schaltung,Benzin
162,23,57424.0,48.0,556.6,140.0,6.0,136.0,Audi,A4 Avant 30 TDI advanced,Automatik,Diesel
163,3,1.0,48.0,599.64,195.0,9.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
164,3,301.0,48.0,475.2,126.0,6.0,116.0,Audi,A3 Sportback 30 TDI intense,Manuelle Schaltung,Diesel
165,3,201.0,48.0,799.4,122.0,5.0,200.0,Skoda,Octavia ŠKODA Combi RS TDI DSG,Automatik,Benzin
166,5,9870.0,48.0,960.58,135.0,6.0,310.0,Cupra,Formentor VZ 2.0 TSI DSG 4Drive,Automatik,Benzin
167,2,50.0,48.0,797.47,140.0,6.0,150.0,Skoda,Octavia ŠKODA Combi 4x4 SCOUT TDI DSG,Automatik,Diesel
168,3,1.0,48.0,514.3,127.0,6.0,110.0,Audi,A3 Sportback 30 TFSI intense,Automatik,Benzin
169,13,9448.0,48.0,388.91,42.0,2.0,95.0,Seat,Arona FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
170,2,1.0,48.0,712.44,39.0,2.0,150.0,Cupra,Formentor 1.5 TSI DSG ACT,Automatik,Benzin
171,3,1.0,48.0,576.74,39.0,2.0,110.0,Volkswagen,T-Roc VW Cabriolet Style TSI,Manuelle Schaltung,Benzin
172,61,35246.0,36.0,639.04,131.0,6.0,190.0,Audi,A5 Coupe 2.0 TDI Sport,Automatik,Diesel
173,61,35246.0,36.0,639.04,119.0,5.0,190.0,Audi,A5 Coupe 2.0 TDI Sport,Automatik,Diesel
174,3,1.0,48.0,330.97,120.0,5.0,95.0,Seat,Ibiza FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
175,47,42932.0,48.0,404.75,127.0,6.0,116.0,Volkswagen,T-Roc VW Design TDI,Manuelle Schaltung,Diesel
176,50,103693.0,48.0,379.44,138.0,5.0,150.0,Skoda,Octavia ŠKODA Combi Style TDI DSG,Automatik,Diesel
177,8,4100.0,48.0,577.93,126.0,6.0,150.0,Seat,Ateca FR 1.5 TSI ACT DSG,Automatik,Benzin
178,29,49638.0,48.0,437.7,135.0,5.0,116.0,Audi,A3 Sportback 30 TDI advanced ext.,Manuelle Schaltung,Diesel
179,59,81115.0,48.0,436.19,109.0,4.0,150.0,Volkswagen,Touran VW Comfortline TDI SCR DSG 7-Sitzer,Automatik,Diesel
180,2,201.0,48.0,460.09,115.0,5.0,110.0,Volkswagen,T-Cross VW Style TSI,Manuelle Schaltung,Benzin
181,2,201.0,48.0,574.24,139.0,5.0,150.0,Skoda,Karoq ŠKODA Style TSI DSG ACT,Automatik,Benzin
182,2,5000.0,48.0,767.81,109.0,5.0,245.0,Seat,Tarraco FR 2.0 TSI DSG 4Drive,Automatik,Benzin
183,4,15000.0,48.0,491.72,138.0,5.0,110.0,Volkswagen,Golf VW Variant Life TSI,Manuelle Schaltung,Benzin
184,4,15000.0,48.0,489.44,101.0,4.0,110.0,Volkswagen,Golf VW Variant Life TSI,Manuelle Schaltung,Benzin
185,2,201.0,48.0,423.9,120.0,5.0,110.0,Seat,Arona FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
186,3,201.0,48.0,464.0,162.0,6.0,110.0,Seat,Arona FR Austria 1.0 TSI DSG,Automatik,Benzin
187,3,1.0,48.0,448.02,124.0,6.0,110.0,Seat,Arona FR Austria 1.0 TSI DSG,Automatik,Benzin
188,63,77068.0,36.0,490.32,125.0,6.0,150.0,Volkswagen,Touran VW Comfortline TSI DSG,Automatik,Benzin
189,4,5000.0,48.0,799.12,115.0,5.0,150.0,Seat,Tarraco FR eHYBRID 245 DSG,Automatik,Hybrid
190,6,5000.0,48.0,773.7,99.0,4.0,150.0,Seat,Tarraco FR eHYBRID 245 DSG,Automatik,Hybrid
191,7,5000.0,48.0,741.72,120.0,5.0,150.0,Seat,Tarraco FR eHYBRID 245 DSG,Automatik,Hybrid
192,2,201.0,48.0,789.53,135.0,5.0,150.0,Cupra,Formentor VZ e-HYBRID DSG,Automatik,Hybrid
193,2,201.0,48.0,382.58,113.0,4.0,95.0,Volkswagen,T-Cross VW Life TSI,Manuelle Schaltung,Benzin
194,7,15000.0,48.0,239.62,129.0,5.0,80.0,Seat,Ibiza Austria Edition,Manuelle Schaltung,Benzin
195,4,1.0,48.0,309.11,151.0,7.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
196,41,105301.0,48.0,587.75,105.0,5.0,190.0,Audi,A4 Avant 40 TDI quattro S line,Automatik,Diesel
197,35,18903.0,48.0,256.33,116.0,4.0,80.0,Volkswagen,Polo VW,Manuelle Schaltung,Benzin
198,53,105750.0,48.0,255.85,195.0,9.0,116.0,Volkswagen,Golf VW Variant TDI SCR,Manuelle Schaltung,Diesel
199,50,135173.0,48.0,362.57,120.0,5.0,150.0,Skoda,Octavia ŠKODA Combi Style TDI DSG,Automatik,Diesel
200,34,73940.0,48.0,437.7,127.0,6.0,150.0,Volkswagen,Passat VW Variant Business TDI SCR DSG,Automatik,Diesel
201,52,57909.0,48.0,242.28,149.0,7.0,86.0,Seat,Leon Kombi Reference TSI,Manuelle Schaltung,Benzin
202,31,43620.0,48.0,604.6,152.0,7.0,204.0,Audi,A4 Limousine 40 TDI S line quattro,Automatik,Diesel
203,0,15.0,48.0,423.18,113.0,4.0,120.0,Hyundai,"i30 CW 1,0 T-GDI GO Plus!",Manuelle Schaltung,Benzin
204,4,201.0,48.0,379.66,113.0,5.0,95.0,Seat,Arona FR Austria 1.0 TSI,Manuelle Schaltung,Benzin
205,23,26189.0,48.0,445.8,115.0,5.0,110.0,Audi,A3 Sportback 30 TFSI intense,Manuelle Schaltung,Benzin
206,0,15.0,48.0,414.94,153.0,7.0,120.0,Hyundai,"i30 1,0 T-GDI GO Plus!",Manuelle Schaltung,Benzin
207,29,20020.0,48.0,374.9,117.0,5.0,125.0,Ford,"Puma 1,0 EcoBoost Hybrid ST-Line",Manuelle Schaltung,Benzin
