,brand,mileage,deposit,number_of_miles,first_registration,duration,monthly_fee,horsepower,kilowatts,fuel_type,emissions,consumption
8389,Cupra,10.000 km (anpassbar),"0,00 € (anpassbar)",10 km,Neuwagen,36 Monate (anpassbar),"411,74 €",300 PS,221 kW,Benzin,176 g/km,"7,8 l/100 km"
8390,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"340,00 €",150 PS,110 kW,Benzin,132 g/km,"5,9 l/100 km"
8391,Skoda,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"123,00 €",65 PS,48 kW,Benzin,156 g/km,"6,8 l/100 km"
8392,Mercedes-Benz,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"569,50 €",204 PS,150 kW,Benzin,133 g/km,"5,9 l/100 km"
8393,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,03/2023,48 Monate (anpassbar),"346,00 €",150 PS,110 kW,Benzin,,
8394,Suzuki,10.000 km (anpassbar),"0,00 € (anpassbar)",100 km,09/2022,60 Monate (anpassbar),"219,00 €",129 PS,95 kW,Benzin,42 g/km,"1,9 l/100 km"
8395,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,30 Monate (anpassbar),"319,00 €",131 PS,96 kW,Benzin,145 g/km,"6,4 l/100 km"
8396,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",22.608 km,01/2022,36 Monate (anpassbar),"444,00 €",204 PS,150 kW,Diesel,152 g/km,"6,7 l/100 km"
8397,Opel,10.000 km (anpassbar),"0,00 € (anpassbar)",10 km,01/2023,36 Monate (anpassbar),"262,09 €",131 PS,96 kW,Benzin,106 g/km,"4,0 l/100 km"
8398,Citroën,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"319,00 €",131 PS,96 kW,Andere,,
8399,Jeep,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"279,00 €",156 PS,115 kW,Elektro,145 g/km,"6,1 l/100 km"
8400,Toyota,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"473,00 €",218 PS,160 kW,Elektro,109 g/km,"4,8 l/100 km"
8401,Audi,10.000 km (anpassbar),"0,00 € (anpassbar)",4.960 km,12/2021,48 Monate (anpassbar),"679,00 €",367 PS,270 kW,Hybrid,117 g/km,"5,1 l/100 km"
8402,Volkswagen,10.000 km (anpassbar),"0,00 € (anpassbar)",0 km,Neuwagen,48 Monate (anpassbar),"354,00 €",150 PS,110 kW,Andere,153 g/km,"6,8 l/100 km"
